Execution time: 3732.743196249008 seconds

Number of crossovers applied: 11985
Number of mutations applied: 978

Best individuals and their accuracies for each test:
Test 305 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 306 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 307 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 308 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 309 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 310 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 311 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 312 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 313 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 314 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 315 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 316 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 317 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 318 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 319 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 320 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 321 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 322 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 323 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 324 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 325 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 326 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 327 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 328 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 329 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 330 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 331 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 332 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 333 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 334 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 335 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 336 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 337 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 338 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 339 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 340 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 341 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 342 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 343 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 344 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 345 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 346 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 347 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 348 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 349 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 350 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 351 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 352 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 353 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 354 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 355 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 356 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 357 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 358 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 359 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 360 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 361 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 362 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 363 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 364 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 365 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 366 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 367 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 368 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 369 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 370 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 371 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 372 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 373 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 374 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 375 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 376 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 377 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 378 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 379 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 380 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 381 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 382 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 383 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 384 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 385 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 386 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 387 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 388 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 389 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 390 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 391 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 392 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 393 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 394 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 395 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 396 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 397 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 398 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 399 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 400 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 401 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 402 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 403 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 404 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 405 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 406 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 407 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 408 => Best Individual: 11001011, Fitness: 0.7987012987012987
Test 409 => Best Individual: 11001011, Fitness: 0.7987012987012987
